gd_diff,streak_diff,weighted_diff,form_diff,home_form,away_form,corners_diff,shotsontarget_diff,shots_diff,goals_avg_diff,overall_diff,attack_diff,midfield_diff,defense_diff,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_home_goals_avg,h2h_away_goals_avg,h2h_games,home_position,away_position,position_diff,home_points,away_points,points_diff,B365H,B365D,B365A,prob_home,prob_draw,prob_away,prob_home_norm,prob_draw_norm,prob_away_norm,h2h_confidence,away_advantage,season_trend,position_form_home,position_form_away,strength_balance,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,Result,Season
-2,-0.2222222222222222,-0.33333333333333337,-0.657789,1.5140740000000001,2.171863,-3.6666666666666665,-2.666666666666667,-3.333333333333334,-0.6666666666666667,-7.0,-4.0,-8.0,-9.0,0,0,0,0.0,0.0,0,3,2,1,7,9,-2,4.33,3.3,1.83,0.23094688221709006,0.30303030303030304,0.5464480874316939,0.21375553502596287,0.2804731717158846,0.5057712932581525,0.0,0.6644518272425249,0.0,1.968408358124343,0.9166478371923444,1.0517605209319987,1.5672565,0.82795596,0.74549824,0.0,0.070418775,2.250271,0.19531405,0.5760977,0.14310424,0.72761124,0.7665786,2.5668466,0.43298095,0.79703903,0.50139076,3.2054832,2,2006
1,0.3333333333333333,0.33333333333333337,0.36923700000000004,0.818137,0.44889999999999997,-2.3333333333333335,-3.0,-3.666666666666667,0.3333333333333333,5.0,5.0,5.0,4.0,0,0,0,0.0,0.0,0,14,17,-3,4,1,3,2.37,3.1,3.0,0.42194092827004215,0.3225806451612903,0.3333333333333333,0.3914635686324031,0.29928021214799855,0.30925621921959845,0.0,1.2134189864382583,0.0,16.905415408320124,37.045107866637615,20.13969245831749,2.5054393,1.132468,0.0,0.0,0.19517183,0.8235169,0.32553133,1.0457401,0.0,0.37666923,1.6532927,1.748307,2.2957182,1.6434847,0.76799023,0.0,2,2006
1,0.2222222222222222,0.0,0.22110000000000007,1.184074,0.962974,-4.666666666666667,-3.0,-4.833333333333334,0.16666666666666674,1.0,3.0,1.0,-1.0,0,0,0,0.0,0.0,0,8,9,-1,4,4,0,2.5,3.2,2.75,0.4,0.3125,0.36363636363636365,0.3717001055966209,0.29039070749736007,0.337909186906019,0.0,1.1235955056179776,0.0,6.69975227665957,9.249990236121418,2.550237959461848,2.3329487,0.6705245,0.0,0.0,0.2215701,1.0263191,0.20024753,0.25366586,0.0,0.25875324,0.97526306,1.8827126,1.5625806,1.9320898,0.39562646,0.65085554,2,2006
2,0.0,0.0,0.14813699999999996,0.44889999999999997,0.300763,-2.0,-3.5,-1.666666666666666,-0.6666666666666666,-8.0,-8.0,-8.0,-7.0,0,0,0,0.0,0.0,0,34,35,-1,0,0,0,2.1,3.25,3.4,0.47619047619047616,0.3076923076923077,0.29411764705882354,0.44173495902458526,0.28542874275434743,0.27283629822106736,0.0,1.0291090855630698,0.0,74.09021573327523,112.62602047219264,38.535804738917406,0.0,1.4593902,0.36733407,1.1014864,0.15574738,0.7552614,0.0,0.5189315,0.0,0.6465922,3.136647,1.3025832,0.0,0.93778425,0.0,0.38941288,0,2006
-2,-0.5555555555555556,-0.4444444444444444,-0.6600000000000003,0.8910999999999999,1.5511000000000001,-0.16666666666666696,-4.333333333333334,-9.5,-1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,10,6,4,4,6,-2,1.83,3.3,4.33,0.5464480874316939,0.30303030303030304,0.23094688221709006,0.5057712932581525,0.2804731717158846,0.21375553502596287,0.0,0.5994005994005994,0.0,11.097547442015316,3.8434437255781173,7.254103716437198,0.06033823,0.0,0.0,1.3057494,0.0666171,1.8194242,0.28914624,0.6518159,0.0,0.56416905,1.4515743,1.4616038,1.1910198,2.6346865,1.1574339,0.0,2,2006
-7,-0.8888888888888888,-0.8888888888888888,-1.0651740000000003,0.5948259999999999,1.6600000000000001,-3.166666666666667,-4.833333333333334,-7.333333333333333,-1.5,-11.0,-11.0,-12.0,-8.0,0,0,0,0.0,0.0,0,19,7,12,1,6,-5,5.0,3.6,1.66,0.2,0.2777777777777778,0.6024096385542169,0.1851530549014748,0.25715702069649277,0.5576899244020325,0.0,0.3682272488164124,0.0,31.413993446048956,4.191616766467066,27.222376679581892,0.10460484,0.49329,0.6949485,1.7336264,0.036077797,2.9736707,0.44456092,0.4659383,0.6752014,2.1745102,0.9393793,2.674549,0.53051305,1.348125,0.8619963,4.215186,2,2006
-9,-0.6666666666666667,-0.5666666666666667,-1.12627779,0.71888521,1.845163,1.4166666666666665,-2.083333333333333,-6.166666666666666,-1.3333333333333335,2.0,2.0,2.0,2.0,0,0,0,0.0,0.0,0,13,3,10,4,9,-5,2.37,3.25,2.87,0.42194092827004215,0.3076923076923077,0.3484320557491289,0.3913871743335613,0.28541157020632013,0.3232012554601186,0.0,0.23059185242121447,0.0,17.835455873771945,1.6171085775212204,16.218347296250723,0.0,0.0,0.0,1.758091,0.0,2.2893422,0.6764739,1.3351783,0.0,1.1357956,0.5559008,2.7313921,2.1265097,1.5363503,1.6537893,0.75084275,2,2006
13,1.0,1.0,2.46999621,2.67150742,0.20151121,0.5,1.25,3.75,1.5,9.0,8.0,10.0,10.0,0,0,0,0.0,0.0,0,1,35,-34,12,0,12,1.12,7.5,19.0,0.8928571428571428,0.13333333333333333,0.05263157894736842,0.8276222557788362,0.12359159019630621,0.04878615402485771,0.0,34.65346534653465,0.0,0.3729245694199869,165.47586295780727,165.1029383883873,7.4753947,3.186499,1.178642,1.3923969,0.0,3.36614,0.0,1.278982,6.4210806,0.0,2.9729533,0.0,0.0,1.1334705,4.748282,0.0,0,2006
2,0.25,0.2333333333333333,0.32035178999999997,0.6699999999999999,0.34964820999999996,-2.166666666666667,-2.8333333333333335,-5.666666666666667,-0.4166666666666667,7.0,7.0,7.0,7.0,0,0,0,0.0,0.0,0,17,18,-1,3,1,2,1.72,3.3,5.0,0.5813953488372093,0.30303030303030304,0.2,0.5361320509487912,0.2794385235248245,0.1844294255263842,0.0,1.0582010582010581,0.0,25.0,50.04890751437356,25.04890751437356,1.7104216,1.1502367,0.0,0.27439946,0.0,0.59009624,0.0,0.7749686,0.0,0.29041725,1.921988,0.7498816,2.6107464,2.3866444,1.1317388,0.0,2,2006
2,0.16666666666666663,0.06666666666666665,0.2059407900000001,1.85629258,1.65035179,1.166666666666667,-0.16666666666666696,0.6666666666666661,0.16666666666666674,10.0,8.0,11.0,9.0,0,0,0,0.0,0.0,0,4,3,1,9,10,-1,1.4,3.75,10.0,0.7142857142857143,0.26666666666666666,0.1,0.6607929515418501,0.24669603524229072,0.09251101321585903,0.0,0.7481296758104738,0.0,2.1432866651594358,1.8068460058094076,0.3364406593500282,1.08131,0.0,0.5989284,0.0,0.0,0.58567715,0.52748394,0.661608,0.23785254,0.0,1.001798,0.0,2.9116762,1.5101696,2.02552,0.0,1,2006
